               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.035415,            0.041926,            0.023741,             0.63395,             0.73766,             0.75185,             0.54364,            0.027109,            0.015719,            0.011346,            0.005149,            0.005149,            0.005149
                  51,            0.035457,            0.042501,            0.023343,             0.68255,             0.70637,             0.74344,             0.53814,             0.02734,            0.015495,            0.010969,             0.00505,             0.00505,             0.00505
                  52,            0.035364,            0.042297,            0.022905,             0.73521,              0.6631,             0.73005,             0.52303,            0.027238,            0.015628,            0.011673,            0.004951,            0.004951,            0.004951
                  53,            0.035082,             0.04211,            0.022194,             0.87045,             0.62007,             0.72407,              0.5289,            0.027101,            0.015269,            0.011863,            0.004852,            0.004852,            0.004852
                  54,            0.034901,            0.041983,            0.022343,             0.73036,             0.69685,             0.73663,             0.54043,            0.027041,            0.015406,            0.011737,            0.004753,            0.004753,            0.004753
                  55,            0.035187,            0.042487,             0.02216,             0.71599,              0.6878,             0.74365,             0.54024,            0.026351,            0.015396,            0.011137,            0.004654,            0.004654,            0.004654
                  56,            0.034935,            0.041681,             0.02148,             0.85035,             0.64342,             0.74403,             0.54132,             0.02665,            0.015487,           0.0098977,            0.004555,            0.004555,            0.004555
                  57,            0.034687,            0.042336,             0.02168,             0.66754,             0.71788,             0.75846,             0.54166,            0.026661,            0.015494,            0.010374,            0.004456,            0.004456,            0.004456
                  58,            0.035082,            0.041891,            0.021354,             0.72543,             0.70098,             0.74859,             0.54148,            0.026234,            0.015315,            0.011485,            0.004357,            0.004357,            0.004357
                  59,            0.034645,            0.041637,            0.021156,             0.71354,             0.67673,              0.7374,             0.53929,            0.026463,            0.015363,            0.011456,            0.004258,            0.004258,            0.004258
                  60,            0.034441,            0.041514,            0.020603,             0.65921,             0.71398,             0.74171,             0.54081,            0.026683,            0.015036,            0.011461,            0.004159,            0.004159,            0.004159
                  61,            0.034775,            0.041869,            0.020463,             0.67656,             0.72663,             0.74484,             0.53998,            0.026234,            0.015035,           0.0099178,             0.00406,             0.00406,             0.00406
                  62,            0.034659,            0.041571,             0.02092,             0.74361,             0.65181,             0.74861,             0.53686,            0.026211,            0.015065,              0.0108,            0.003961,            0.003961,            0.003961
                  63,            0.033836,            0.042071,             0.02041,             0.68091,              0.6945,             0.73855,             0.53648,            0.026218,            0.015137,            0.011639,            0.003862,            0.003862,            0.003862
                  64,            0.033879,            0.041143,            0.019835,             0.72104,             0.67284,             0.73643,              0.5371,            0.026341,            0.015038,            0.011435,            0.003763,            0.003763,            0.003763
                  65,            0.034194,            0.041486,            0.019116,              0.7599,             0.64506,             0.72676,             0.53611,            0.026076,            0.015025,            0.011056,            0.003664,            0.003664,            0.003664
                  66,            0.034114,            0.041601,            0.018929,             0.77303,             0.64183,             0.73588,             0.54295,            0.025931,            0.015122,              0.0102,            0.003565,            0.003565,            0.003565
                  67,            0.033671,            0.040909,             0.01929,             0.73315,             0.67773,             0.74795,             0.54944,            0.025864,            0.015003,            0.010589,            0.003466,            0.003466,            0.003466
                  68,            0.033979,            0.040536,            0.019857,             0.72386,             0.65597,             0.72701,             0.53848,            0.025757,            0.014937,            0.010082,            0.003367,            0.003367,            0.003367
