               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.034836,            0.042012,            0.021146,             0.67957,             0.70225,             0.73668,              0.5317,            0.027157,            0.015184,             0.01359,            0.004555,            0.004555,            0.004555
                  57,            0.034839,            0.041325,            0.021349,             0.72068,             0.68915,             0.74692,             0.53396,            0.027294,            0.015209,            0.012742,            0.004456,            0.004456,            0.004456
                  58,            0.034402,            0.041626,            0.020821,              0.7778,             0.68622,             0.73297,             0.53224,            0.027495,            0.015289,            0.013342,            0.004357,            0.004357,            0.004357
                  59,            0.034614,            0.041534,            0.020702,             0.70899,             0.67147,              0.7377,             0.54218,            0.026669,            0.015129,             0.01165,            0.004258,            0.004258,            0.004258
                  60,            0.034638,            0.041612,            0.020498,             0.84763,             0.65317,             0.72156,             0.53302,            0.027362,            0.014908,            0.011894,            0.004159,            0.004159,            0.004159
                  61,            0.034281,            0.041211,            0.020123,             0.75794,             0.65632,              0.7285,             0.53621,            0.027182,            0.015177,            0.012056,             0.00406,             0.00406,             0.00406
                  62,            0.033947,            0.041184,            0.019875,             0.89942,             0.61812,             0.72529,             0.53986,            0.026453,            0.014884,            0.011247,            0.003961,            0.003961,            0.003961
                  63,            0.034367,            0.041888,            0.020544,             0.86857,             0.62992,             0.72693,             0.53838,            0.026579,            0.014994,            0.011984,            0.003862,            0.003862,            0.003862
                  64,            0.033929,            0.040998,            0.020004,             0.77365,             0.67496,             0.71939,             0.53568,            0.027026,            0.014809,            0.012624,            0.003763,            0.003763,            0.003763
                  65,            0.034238,            0.040992,            0.020627,             0.74423,              0.6707,             0.71883,              0.5348,            0.026905,            0.014853,            0.012219,            0.003664,            0.003664,            0.003664
                  66,            0.033568,            0.040956,            0.019287,             0.75152,             0.66668,             0.74854,             0.54218,            0.026103,            0.014845,            0.011774,            0.003565,            0.003565,            0.003565
                  67,            0.033713,            0.040912,            0.018682,             0.86606,              0.6717,             0.73815,             0.54342,            0.026606,            0.014771,            0.012015,            0.003466,            0.003466,            0.003466
                  68,            0.033635,            0.040882,            0.019464,             0.78165,             0.68932,             0.75203,             0.54527,            0.026422,            0.014787,             0.01194,            0.003367,            0.003367,            0.003367
                  69,            0.033893,            0.041189,            0.018626,             0.81426,             0.64866,             0.73303,             0.54782,            0.026531,            0.014775,            0.011496,            0.003268,            0.003268,            0.003268
                  70,            0.033662,            0.040357,            0.018929,             0.80424,             0.67445,             0.74506,             0.55261,             0.02656,            0.014746,            0.011187,            0.003169,            0.003169,            0.003169
                  71,             0.03319,            0.040909,            0.018461,             0.74872,             0.66974,             0.74387,             0.55048,            0.026373,            0.014663,            0.011487,             0.00307,             0.00307,             0.00307
                  72,            0.033091,            0.040816,            0.018258,             0.84664,             0.66514,             0.74081,             0.54992,            0.026058,            0.014677,            0.011245,            0.002971,            0.002971,            0.002971
                  73,            0.033081,            0.040625,            0.017502,             0.80096,              0.6459,             0.73405,              0.5485,            0.026296,            0.014634,            0.011481,            0.002872,            0.002872,            0.002872
                  74,             0.03333,            0.040716,            0.018528,             0.83276,             0.65597,             0.74252,             0.54964,             0.02615,            0.014535,             0.01127,            0.002773,            0.002773,            0.002773
                  75,            0.033225,            0.040303,            0.017675,             0.75408,             0.68124,             0.74748,             0.54918,            0.026131,            0.014438,            0.011361,            0.002674,            0.002674,            0.002674
                  76,            0.032801,            0.040983,            0.017547,             0.66896,             0.70782,             0.73763,             0.54815,            0.026264,            0.014422,            0.010953,            0.002575,            0.002575,            0.002575
                  77,            0.032387,             0.03959,            0.017418,             0.70413,              0.6678,             0.73334,             0.54885,            0.026371,            0.014406,            0.010917,            0.002476,            0.002476,            0.002476
                  78,            0.032459,            0.039901,            0.016824,             0.72447,             0.66375,             0.73305,             0.55181,            0.026152,            0.014334,            0.010303,            0.002377,            0.002377,            0.002377
                  79,             0.03302,            0.040181,            0.017417,             0.76562,             0.66092,             0.74701,             0.54868,            0.026252,            0.014378,             0.01004,            0.002278,            0.002278,            0.002278
                  80,            0.032273,            0.039781,            0.016255,             0.81813,             0.65651,             0.73898,             0.55013,            0.025981,            0.014467,             0.01024,            0.002179,            0.002179,            0.002179
